"design","scenario","dgp","n_trials","mean_n_patients","expected_toxicities","sd_toxicities","expected_toxicity_rate","expected_toxicity_rate_percent","expected_efficacies","sd_efficacies","expected_efficacy_rate","expected_efficacy_rate_percent"
"BOIN12","A","Base case: logit/logit",1000,60,7.395,2.18122276091479,0.12325,12.325,46.932,2.78552241691485,0.7822,78.22
"BOIN12","A","Misspecification: probit/probit",1000,60,7.632,2.37491393869677,0.1272,12.72,49.948,2.72630312487968,0.832466666666667,83.2466666666667
"BOIN12","B","Base case: logit/logit",1000,60,6.143,3.3111198278701,0.102383333333333,10.2383333333333,43.235,12.6300155301683,0.720583333333333,72.0583333333333
"BOIN12","B","Misspecification: probit/probit",1000,60,3.815,4.59324208733579,0.0635833333333333,6.35833333333333,23.372,21.3808970522464,0.389533333333333,38.9533333333333
"BOIN12","C","Base case: logit/logit",1000,60,0,0,0,0,0.527,1.29805853333197,0.00878333333333333,0.878333333333333
"BOIN12","C","Misspecification: probit/probit",1000,60,0,0,0,0,0.001,0.0316227766016838,1.66666666666667e-05,0.00166666666666667
"BOIN12","D","Base case: logit/logit",1000,60,12.123,3.22152902349944,0.20205,20.205,38.347,3.73209318205207,0.639116666666667,63.9116666666667
"BOIN12","D","Misspecification: probit/probit",1000,60,11.736,3.32496005379905,0.1956,19.56,44.65,3.59616913290135,0.744166666666667,74.4166666666667
"STEIN","A","Base case: logit/logit",1000,60,2.9,3.01015964046113,0.0483333333333333,4.83333333333333,40.415,8.64612806581828,0.673583333333333,67.3583333333333
"STEIN","A","Misspecification: probit/probit",1000,60,4.027,3.34835519060963,0.0671166666666667,6.71166666666667,44.684,8.92938283857725,0.744733333333333,74.4733333333333
"STEIN","B","Base case: logit/logit",1000,60,0.193,1.18960756813588,0.00321666666666667,0.321666666666667,13.044,7.19679497122558,0.2174,21.74
"STEIN","B","Misspecification: probit/probit",1000,60,0,0,0,0,4.966,2.13105264725801,0.0827666666666667,8.27666666666667
"STEIN","C","Base case: logit/logit",1000,60,0,0,0,0,0.433,0.658744977168665,0.00721666666666667,0.721666666666667
"STEIN","C","Misspecification: probit/probit",1000,60,0,0,0,0,0.001,0.0316227766016838,1.66666666666667e-05,0.00166666666666667
"STEIN","D","Base case: logit/logit",1000,60,10.695,3.27118872516944,0.17825,17.825,39.482,3.21154012741395,0.658033333333333,65.8033333333333
"STEIN","D","Misspecification: probit/probit",1000,60,11.473,3.12522607790829,0.191216666666667,19.1216666666667,44.9,3.32972777972721,0.748333333333333,74.8333333333333
"TEPI","A","Base case: logit/logit",1000,60,4.986,1.48593809158121,0.0831,8.31,47.427,2.66491515301572,0.79045,79.045
"TEPI","A","Misspecification: probit/probit",1000,60,4.125,1.37012855318479,0.06875,6.875,51.849,2.04165799471101,0.86415,86.415
"TEPI","B","Base case: logit/logit",1000,60,4.113,1.35944072290008,0.06855,6.855,52.065,1.69636454002454,0.86775,86.775
"TEPI","B","Misspecification: probit/probit",1000,60,4.209,1.44686295564314,0.07015,7.015,52.454,1.6566920741733,0.874233333333333,87.4233333333333
"TEPI","C","Base case: logit/logit",1000,60,0.132,0.355953231060912,0.0022,0.22,41.366,2.1574750748731,0.689433333333333,68.9433333333333
"TEPI","C","Misspecification: probit/probit",1000,60,0,0,0,0,43.799,1.46654347011937,0.729983333333333,72.9983333333333
"TEPI","D","Base case: logit/logit",1000,60,13.929,3.66379344155513,0.23215,23.215,37.146,4.5691970368503,0.6191,61.91
"TEPI","D","Misspecification: probit/probit",1000,60,13.306,2.6828271583465,0.221766666666667,22.1766666666667,43.311,3.17747940597187,0.72185,72.185
